cluster_name,ip,category
ship-cluster1,192.168.0.101,shipping
ship-cluster2,192.168.0.102,shipping
ship-cluster3,192.168.0.101,shipping
ship-cluster4,192.168.0.102,shipping
ship-cluster5,192.168.0.101,shipping
ship-cluster6,192.168.0.102,shipping
ship-cluster7,192.168.0.101,shipping
ship-cluster8,192.168.0.102,shipping
ship-cluster9,192.168.0.101,shipping
ship-cluster10,192.168.0.102,shipping
ship-cluster11,192.168.0.101,shipping
ship-cluster12,192.168.0.102,shipping
ship-cluster13,192.168.0.101,shipping
ship-cluster14,192.168.0.102,shipping
ship-cluster15,192.168.0.101,shipping
ship-cluster16,192.168.0.102,shipping
ship-cluster17,192.168.0.101,shipping
ship-cluster18,192.168.0.102,shipping
ship-cluster19,192.168.0.101,shipping
ship-cluster20,192.168.0.102,shipping
ship-cluster21,192.168.0.101,shipping
ship-cluster22,192.168.0.102,shipping
ship-cluster23,192.168.0.101,shipping
ship-cluster24,192.168.0.102,shipping
ship-cluster25,192.168.0.101,shipping
ship-cluster26,192.168.0.102,shipping
ship-cluster27,192.168.0.101,shipping
ship-cluster28,192.168.0.102,shipping
ship-cluster29,192.168.0.101,shipping
ship-cluster30,192.168.0.102,shipping
ship-cluster31,192.168.0.101,shipping
ship-cluster32,192.168.0.102,shipping
ship-cluster33,192.168.0.101,shipping
ship-cluster34,192.168.0.102,shipping
ship-cluster35,192.168.0.101,shipping
ship-cluster36,192.168.0.102,shipping
ship-cluster37,192.168.0.101,shipping
ship-cluster38,192.168.0.102,shipping
ship-cluster39,192.168.0.101,shipping
ship-cluster40,192.168.0.102,shipping
ship-cluster41,192.168.0.101,shipping
ship-cluster42,192.168.0.102,shipping
ship-cluster43,192.168.0.101,shipping
ship-cluster44,192.168.0.102,shipping
ship-cluster45,192.168.0.101,shipping
ship-cluster46,192.168.0.102,shipping
ship-cluster47,192.168.0.101,shipping
ship-cluster48,192.168.0.102,shipping
cvo-prod1,192.168.0.101,cvo
cvo-prod2,192.168.0.102,cvo
cvo-prod3,192.168.0.101,cvo
cvo-prod4,192.168.0.102,cvo
cvo-prod5,192.168.0.101,cvo
cvo-prod6,192.168.0.102,cvo
cvo-prod7,192.168.0.101,cvo
cvo-prod8,192.168.0.102,cvo
cvo-prod9,192.168.0.101,cvo
cvo-prod10,192.168.0.102,cvo
cvo-dr11,192.168.0.101,cvo
cvo-dr12,192.168.0.102,cvo
cvo-dr13,192.168.0.101,cvo
cvo-dr14,192.168.0.102,cvo
cvo-dr15,192.168.0.101,cvo
cvo-dr16,192.168.0.102,cvo
cvo-dr17,192.168.0.101,cvo
cvo-dr18,192.168.0.102,cvo
cvo-dr19,192.168.0.101,cvo
cvo-dr20,192.168.0.102,cvo
common-prod1,192.168.0.101,common
common-prod2,192.168.0.102,common
common-prod3,192.168.0.101,common
common-prod4,192.168.0.102,common
common-prod5,192.168.0.101,common
common-dr6,192.168.0.102,common
common-dr7,192.168.0.101,common
common-dr8,192.168.0.102,common
common-dr9,192.168.0.101,common
common-dr10,192.168.0.102,common
